"code_loc","site_ID","DateTimeOriginal","question__species","question__count_median","capture_date_local","capture_time_local"
"KAR","KAR_B01","2017-10-18 06:43:39","baboon",1,"2017-10-18","06:43:39"
"KAR","KAR_E01","2017-12-02 23:03:13","kudu",1,"2017-12-02","23:03:13"
"KAR","KAR_B03","2018-01-24 11:56:08","baboon",1,"2018-01-24","11:56:08"
"KAR","KAR_D04","2017-12-02 06:21:55","steenbok",1,"2017-12-02","06:21:55"
"KAR","KAR_E02","2017-12-24 07:51:08","gemsbokoryx",2,"2017-12-24","07:51:08"
"KAR","KAR_A01","2018-01-10 10:08:43","mongooseyellow",1,"2018-01-10","10:08:43"
"KAR","KAR_B01","2017-12-12 16:46:11","porcupine",1,"2017-12-12","16:46:11"
"KAR","KAR_B03","2017-12-10 18:36:12","kudu",1,"2017-12-10","18:36:12"
"KAR","KAR_A01","2018-01-01 10:16:17","baboon",1,"2018-01-01","10:16:17"
"KAR","KAR_E01","2017-11-22 19:49:16","lionfemale",1,"2017-11-22","19:49:16"
"KAR","KAR_A02","2017-10-23 19:13:19","jackalblackbacked",1,"2017-10-23","19:13:19"
"KAR","KAR_D04","2018-02-01 01:55:47","kudu",1,"2018-02-01","01:55:47"
"KAR","KAR_B02","2018-01-19 05:07:26","birdother",1,"2018-01-19","05:07:26"
"KAR","KAR_C02","2018-02-03 20:00:12","kudu",1,"2018-02-03","20:00:12"
"KAR","KAR_E01","2017-11-19 17:07:12","jackalblackbacked",2,"2017-11-19","17:07:12"
"KAR","KAR_D04","2018-01-01 08:50:48","eland",1,"2018-01-01","08:50:48"
"KAR","KAR_E03","2017-12-05 09:27:21","hartebeestred",1,"2017-12-05","09:27:21"
"KAR","KAR_B02","2018-01-01 07:08:28","baboon",1,"2018-01-01","07:08:28"
"KAR","KAR_E01","2017-12-24 15:08:45","hartebeestred",1,"2017-12-24","15:08:45"
"KAR","KAR_E03","2017-12-26 18:43:32","kudu",1,"2017-12-26","18:43:32"
"KAR","KAR_E02","2017-12-11 12:17:10","kudu",1,"2017-12-11","12:17:10"
"KAR","KAR_B02","2017-12-19 18:32:20","kudu",1,"2017-12-19","18:32:20"
"KAR","KAR_E01","2018-01-29 16:57:45","baboon",1,"2018-01-29","16:57:45"
"KAR","KAR_D04","2018-01-25 10:47:28","kudu",1,"2018-01-25","10:47:28"
"KAR","KAR_A02","2017-12-07 10:23:12","rhinocerosblack",1,"2017-12-07","10:23:12"
"KAR","KAR_B02","2018-01-23 00:11:46","kudu",1,"2018-01-23","00:11:46"
"KAR","KAR_B03","2017-11-24 14:54:45","steenbok",1,"2017-11-24","14:54:45"
"KAR","KAR_A02","2017-10-10 08:39:29","gemsbokoryx",1,"2017-10-10","08:39:29"
"KAR","KAR_B02","2018-01-31 19:59:57","kudu",1,"2018-01-31","19:59:57"
"KAR","KAR_E03","2018-01-26 12:54:53","jackalblackbacked",1,"2018-01-26","12:54:53"
"KAR","KAR_E02","2017-11-01 06:32:05","reedbuckmountain",1,"2017-11-01","06:32:05"
"KAR","KAR_D01","2017-11-29 14:09:49","hartebeestred",1,"2017-11-29","14:09:49"
"KAR","KAR_C02","2018-01-26 16:53:45","kudu",1,"2018-01-26","16:53:45"
