spp_mysites,label,guild_realm,specif_guild,specif_guild2,specif_guild3,weight,Body_size_cat,Scientific_name,Common_name,scien_code,comm_code,Order,Family,IUCN_cat,W.Male,W.female,herd_size,water_dependance,gut_type
leopard,leopard,Carnivore,Stalk and ambush,Stalk and ambush,Large carnivores,61.5,Large,Panthera pardus,Leopard,PAPA,LEOP,Carnivora,Felidae,VU,62.5,60.5,NA,NA,NA
lion,lion,Carnivore,Stalk and ambush,Stalk and ambush,Large carnivores,165.5,Large,Panthera leo,Lion,PALE,LION,Carnivora,Felidae,VU,200,131,NA,NA,NA
meerkatsuricate,suricate,Carnivore,Small carnivore,Small carnivore,Small carnivores,0.76,Small,Suricata suricatta,Meerkat/Suricate,SUSU,MEER,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
mongoosebanded,banded mongoose,Carnivore,Small carnivore,Small carnivore,Small carnivores,1.2,Small,Mungos mungo,Mongoose (Banded),MUMU,MONB,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
mongoosedwarf,dwarf mongoose,Carnivore,Small carnivore,Small carnivore,Small carnivores,0.268,Small,Helogale parvula,Mongoose (Dwarf ),HEPA,MOND,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
mongooseslender,slender mongoose,Carnivore,Small carnivore,Small carnivore,Small carnivores,0.548,Small,Galerella sanguinea,Mongoose (Slender),GASA,MONS,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
mongoosesmallcapegrey,small grey cape mongoose,Carnivore,Small carnivore,Small carnivore,Small carnivores,NA,Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mongoosewater,marsh mongoose,Carnivore,Small carnivore,Small carnivore,Medium carnivores,4,Medium,Atilax paludinosus,Mongoose (Marsh),ATPA,MOMA,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
mongoosewhitetailed,white-tailed mongoose,Carnivore,Small carnivore,Small carnivore,Small carnivores,3.5,Small,Ichneumia albicauda,Mongoose (White-tailed),ICAL,MONW,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
mongooseyellow,yellow mongoose,Carnivore,Small carnivore,Small carnivore,Small carnivores,0.675,Small,Cynictis penicillata,Mongoose (Yellow),CYPE,MONY,Carnivora,Herpestidae,LC,NA,NA,NA,NA,NA
reedbuck,reedbuck,Herbivore,Obligate Grazer,WDGr,Water-dependent grazers,48.5,Medium,Redunca arundinum,Reedbuck,REAR,REED,Artiodactyla,Bovidae,LC,55.5,41.5,Solitary/pairs,High,Ruminant
reedbuckmountain,mountain reedbuck,Herbivore,Obligate Grazer,WDGr,Water-dependent grazers,30,Medium,Redunca fulvorufula,Reedbuck (Mountain),REFU,REMO,Artiodactyla,Bovidae,EN,NA,NA,Family,High,Ruminant
rhebokgrey,grey rhebok,Herbivore,Browser,SNSBr,Small nonsocial browsers,19,Medium,Pelea capreolus,Rhebok (Grey),PECA,RHEG,Artiodactyla,Bovidae,NT,NA,NA,Family,None,Ruminant
rhinocerosblack,black rhinoceros,Herbivore,Browser,NRum,Nonruminants,1100,Extra-large,Diceros bicornis,Rhinoceros (Black),DIBI,RHBL,Perissodactyla,Rhinocerotidae,CR,NA,NA,Family,High,Non-ruminant
rhinoceroswhite,white rhinoceros,Herbivore,Obligate Grazer,NRum,Nonruminants,1775,Extra-large,Ceratotherium simum,Rhinoceros (White),CESI,RHWH,Perissodactyla,Rhinocerotidae,NT,2000,1550,Family,High,Non-ruminant
