"nrow","TN","FN","FP","TP","FNR"
590,66,25,0,0,1
567,65,25,1,0,1
589,66,25,0,0,1
572,66,25,0,0,1
559,66,25,0,0,1
562,66,25,0,0,1
576,66,25,0,0,1
556,66,25,0,0,1
579,66,25,0,0,1
575,66,25,0,0,1
577,66,25,0,0,1
576,66,25,0,0,1
581,66,25,0,0,1
593,66,25,0,0,1
572,66,25,0,0,1
569,66,25,0,0,1
577,65,25,1,0,1
594,66,25,0,0,1
578,66,25,0,0,1
574,66,25,0,0,1
