"nrow","TN","FN","FP","TP","FNR"
638,78,13,0,0,1
629,78,13,0,0,1
630,78,13,0,0,1
638,78,13,0,0,1
616,78,13,0,0,1
629,78,13,0,0,1
620,78,13,0,0,1
630,78,13,0,0,1
627,78,13,0,0,1
607,78,13,0,0,1
615,78,13,0,0,1
623,78,13,0,0,1
596,78,13,0,0,1
620,78,13,0,0,1
598,78,13,0,0,1
638,78,13,0,0,1
602,78,13,0,0,1
648,78,13,0,0,1
609,78,13,0,0,1
642,78,13,0,0,1
