"nrow","TN","FN","FP","TP","FNR"
140,59,22,7,3,0.88
141,64,24,2,1,0.96
139,65,24,1,1,0.96
139,65,24,1,1,0.96
141,63,24,3,1,0.96
141,64,22,2,3,0.88
141,64,22,2,3,0.88
139,64,21,2,4,0.84
142,64,21,2,4,0.84
141,65,23,1,2,0.92
142,64,24,2,1,0.96
142,63,20,3,5,0.8
140,64,23,2,2,0.92
142,65,25,1,0,1
139,64,23,2,2,0.92
140,65,19,1,6,0.76
139,65,25,1,0,1
141,62,22,4,3,0.88
140,64,24,2,1,0.96
142,64,22,2,3,0.88
